timestamp,imagen,duracion_s,ram_used_MB,Volt,Curr,power
2025-07-10 00:16:34,000133.jpg,0.11,3575988,5096,976,5014
2025-07-10 00:16:35,000134.jpg,0.299,3587468,5096,1000,5136
2025-07-10 00:16:36,000135.jpg,0.117,3572112,5096,984,5014
2025-07-10 00:16:38,000136.jpg,0.198,3593740,5096,1000,5096
2025-07-10 00:16:39,000137.jpg,0.143,3607528,5096,1000,5096
2025-07-10 00:16:40,000138.jpg,0.213,3598768,5096,1024,5218
2025-07-10 00:16:42,000139.jpg,0.197,3578844,5096,984,5014
2025-07-10 00:16:43,000140.jpg,0.127,3584200,5104,960,4859
2025-07-10 00:16:44,000141.jpg,0.173,3575716,5096,984,5014
2025-07-10 00:16:46,000142.jpg,0.256,3585956,5104,920,4695
2025-07-10 00:16:47,000143.jpg,0.124,3588512,5088,1024,5210
2025-07-10 00:16:48,000144.jpg,0.319,3598328,5096,984,5014
2025-07-10 00:16:50,000145.jpg,0.207,3602964,5096,984,5014
2025-07-10 00:16:51,000146.jpg,0.098,3600356,5088,1024,5210
2025-07-10 00:16:52,000147.jpg,0.195,3574152,5096,1008,5136
2025-07-10 00:16:54,000148.jpg,0.139,3585608,5104,920,4695
2025-07-10 00:16:55,000149.jpg,0.212,3587936,5096,992,5055
2025-07-10 00:16:56,000150.jpg,0.342,3589504,5096,984,5014
2025-07-10 00:16:58,000151.jpg,0.298,3594900,5096,992,5055
2025-07-10 00:16:59,000152.jpg,0.128,3592904,5096,992,5055
2025-07-10 00:17:00,000153.jpg,0.208,3617388,5096,984,5014
2025-07-10 00:17:02,000154.jpg,0.316,3583684,5096,984,4973
2025-07-10 00:17:04,000155.jpg,0.265,3598744,5096,1008,5096
2025-07-10 00:17:05,000156.jpg,0.19,3581120,5104,960,4892
2025-07-10 00:17:06,000157.jpg,0.245,3587496,5096,1000,5096
2025-07-10 00:17:08,000158.jpg,0.186,3594552,5096,984,4973
2025-07-10 00:17:09,000159.jpg,0.223,3592440,5096,1008,5136
2025-07-10 00:17:10,000160.jpg,0.136,3613832,5096,1000,5096
2025-07-10 00:17:11,000161.jpg,0.361,3615052,5096,992,5055
2025-07-10 00:17:13,000162.jpg,0.329,3580748,5104,952,4859
2025-07-10 00:17:15,000163.jpg,0.121,3582216,5096,984,5014
2025-07-10 00:17:16,000164.jpg,0.108,3598032,5096,1008,5136
2025-07-10 00:17:17,000165.jpg,0.151,3597824,5096,1008,5096
2025-07-10 00:17:19,000166.jpg,0.209,3618600,5096,1008,5136
2025-07-10 00:17:20,000167.jpg,0.337,3609076,5104,952,4859
2025-07-10 00:17:22,000168.jpg,0.133,3585668,5096,1016,5177
2025-07-10 00:17:23,000169.jpg,0.273,3587004,5096,984,5055
2025-07-10 00:17:24,000170.jpg,0.245,3589388,5096,992,5014
2025-07-10 00:17:26,000171.jpg,0.345,3592840,5096,1008,5136
2025-07-10 00:17:28,000172.jpg,0.203,3586524,5104,920,4580
2025-07-10 00:17:29,000173.jpg,0.124,3615356,5096,1000,5096
2025-07-10 00:17:30,000174.jpg,0.16,3619556,5096,1000,5096
2025-07-10 00:17:33,000175.jpg,0.259,3601864,5104,920,4695
2025-07-10 00:17:34,000176.jpg,0.234,3605904,5096,1000,5096
2025-07-10 00:17:35,000177.jpg,0.102,3587252,5096,984,5014
2025-07-10 00:17:37,000178.jpg,0.113,3592568,5112,896,4580
2025-07-10 00:17:38,000179.jpg,0.092,3603784,5096,1008,5136
2025-07-10 00:17:40,000180.jpg,0.236,3640484,5096,1016,5177
2025-07-10 00:17:41,000181.jpg,0.341,3605332,5104,912,4654
2025-07-10 00:17:43,000182.jpg,0.346,3600448,5096,976,4973
2025-07-10 00:17:44,000183.jpg,0.135,3599420,5096,1008,5096
